hours_studied,attendance_pct,sleep_hours,previous_score,practice_tests,extracurricular_hours,final_score
2.35,81.67,7.16,82.92,14,6.25,76.3
1.64,78.27,5.87,32.7,2,7.04,49.9
3.86,80.7,4.75,90.52,8,8.98,81.67
9.22,63.04,7.13,72.37,0,6.57,81.48
5.86,80.64,6.42,66.15,9,9.99,83.89
11.08,60.72,5.73,56.82,3,6.65,83.43
7.88,76.45,5.29,83.63,5,2.69,88.72
7.45,67.57,7.48,30.44,0,1.47,77.96
9.21,73.77,5.59,31.03,12,0.71,89.07
9.0,41.05,6.88,63.82,14,2.68,96.42
4.13,69.93,5.3,49.31,8,1.19,70.67
3.08,53.2,7.77,56.1,3,6.83,66.06
5.25,63.15,5.87,64.88,8,6.9,80.04
5.87,44.43,6.39,32.85,2,6.12,63.77
1.7,79.41,8.64,93.9,3,3.83,90.61
5.3,93.61,7.59,74.05,11,4.64,91.47
7.68,61.28,7.68,36.43,11,2.59,81.19
1.63,46.3,5.7,78.01,2,9.19,58.17
1.66,77.22,8.2,64.64,3,0.16,51.25
2.08,47.62,5.93,74.65,13,3.21,64.61
3.4,93.5,8.94,77.95,2,5.73,80.93
11.54,47.35,8.48,94.44,6,1.81,100.0
0.31,61.71,7.3,37.7,8,8.54,48.5
2.2,69.68,8.16,94.75,0,4.8,80.33
1.98,47.07,6.72,61.0,12,3.71,72.55
5.69,59.12,7.67,43.06,10,0.63,73.15
0.18,56.52,4.62,54.28,4,2.81,58.36
5.5,82.8,8.94,53.68,14,5.9,95.89
1.96,99.18,8.0,88.2,4,2.81,85.49
3.24,61.77,4.71,64.08,11,0.45,68.2
9.51,87.44,5.21,34.34,2,5.8,86.84
2.21,48.42,6.87,76.47,11,3.04,71.35
7.41,74.79,7.81,62.36,9,8.46,85.63
4.88,65.96,4.74,82.95,12,6.92,84.94
5.01,57.29,8.8,33.02,11,7.21,65.91
9.8,89.3,5.73,86.23,9,8.9,100.0
1.93,84.79,8.97,88.04,1,8.1,79.6
11.09,48.04,7.76,30.54,6,3.29,86.88
10.72,57.54,6.43,61.0,8,5.69,94.94
8.02,89.17,5.81,37.9,14,2.59,85.21
0.59,99.55,4.48,64.41,8,2.02,69.86
7.96,76.69,4.44,35.8,13,2.06,87.31
7.2,92.3,7.15,87.66,1,1.11,93.09
9.27,99.05,7.87,41.94,5,2.39,100.0
2.57,84.43,8.54,73.43,7,2.25,78.6
11.44,78.68,5.82,72.48,12,6.73,100.0
10.63,53.27,8.69,50.85,4,2.51,93.04
1.37,62.23,5.48,43.94,6,0.47,60.31
3.78,77.41,8.7,89.49,2,4.22,82.32
0.39,95.58,8.59,32.59,12,2.01,64.85
9.97,58.11,4.77,46.52,14,6.89,89.94
10.98,63.71,8.3,51.24,12,2.22,100.0
11.88,41.33,7.52,67.97,1,5.57,92.89
7.34,81.8,7.51,54.0,10,1.76,87.9
7.99,66.61,8.2,37.24,5,4.82,79.01
8.14,87.86,6.68,67.07,8,8.67,96.79
6.84,54.02,6.53,77.07,9,3.03,90.27
11.43,79.58,5.84,75.81,8,5.27,89.08
7.29,80.39,8.33,61.82,6,4.39,83.43
4.03,67.86,8.51,49.95,8,0.7,69.73
6.15,51.32,4.8,30.67,0,0.21,57.31
0.22,64.17,7.86,64.63,8,8.42,62.75
8.69,84.7,5.38,70.86,12,3.4,100.0
8.33,51.35,4.92,58.68,13,6.86,87.48
5.05,45.4,4.99,92.35,3,4.13,75.74
10.22,67.77,6.87,43.15,1,8.38,79.96
9.07,54.07,5.4,82.92,6,1.95,100.0
4.04,88.03,5.21,76.72,4,4.84,76.12
0.93,89.03,4.49,88.46,13,5.48,82.16
1.59,96.72,5.62,90.1,10,7.94,90.63
2.21,90.39,7.87,45.39,14,0.29,78.43
3.65,78.85,4.11,89.92,7,3.62,72.0
5.37,51.22,6.41,56.21,13,4.75,78.39
11.14,89.38,7.01,74.14,10,5.89,100.0
3.34,83.69,4.25,91.94,6,1.41,82.73
10.78,84.81,5.47,68.7,0,5.44,98.85
8.17,81.85,8.53,67.89,11,6.93,99.21
10.24,89.8,8.97,34.61,1,7.33,83.85
4.84,57.87,8.25,68.78,12,2.24,87.47
0.04,80.35,4.85,45.67,4,4.41,55.54
9.44,71.04,7.82,55.24,2,2.98,87.05
2.95,60.27,6.25,54.56,9,3.88,68.52
1.71,59.61,4.85,93.27,14,3.63,80.77
9.59,49.33,6.4,71.46,10,9.45,88.61
8.24,69.49,8.61,77.12,1,0.13,88.75
2.55,62.12,8.39,41.23,4,9.48,57.28
3.21,65.29,5.96,49.78,9,0.33,63.77
11.27,91.1,4.32,87.04,2,0.78,99.25
3.22,80.89,8.5,37.82,3,2.06,71.5
8.43,80.81,8.93,91.95,7,2.87,100.0
1.55,99.04,6.56,57.78,3,8.58,66.32
9.78,53.07,5.13,55.35,7,8.41,81.84
1.41,70.47,6.72,63.45,2,9.34,59.91
6.19,45.55,7.48,58.81,4,3.9,72.17
0.42,63.57,6.41,60.58,14,0.16,68.36
6.6,97.02,5.76,57.56,11,6.26,85.23
10.16,45.16,5.24,75.61,1,8.99,87.99
1.01,85.46,5.48,47.96,4,1.07,57.13
3.29,91.93,4.25,40.82,13,8.28,76.04
9.18,70.54,5.28,58.24,14,0.02,86.19
7.3,87.86,8.77,35.74,2,7.32,71.03
3.75,66.46,4.04,59.08,13,4.93,78.44
7.55,61.2,7.64,62.13,4,9.08,78.82
5.46,70.34,7.94,80.98,2,8.75,77.07
10.35,51.68,6.02,37.09,3,0.46,80.03
3.52,58.45,6.98,55.8,7,4.98,62.14
9.09,58.32,5.1,80.74,14,2.42,99.57
7.63,99.3,7.34,51.99,14,4.39,85.27
8.89,60.11,7.54,84.35,1,0.66,89.65
4.54,53.73,7.67,76.7,5,3.61,73.05
8.7,96.39,6.46,32.71,12,4.09,92.35
8.38,48.31,8.85,55.04,14,0.04,94.86
4.65,97.95,8.33,79.81,4,4.75,83.9
0.32,91.2,6.86,64.23,3,8.95,71.01
11.55,78.82,7.41,73.74,14,0.61,100.0
8.56,65.67,5.37,94.35,5,9.45,83.2
2.46,51.83,8.72,73.89,11,4.89,62.32
8.77,46.37,7.23,65.49,5,2.11,91.88
3.34,46.22,8.47,85.0,3,9.69,69.71
5.63,60.95,5.44,57.96,13,4.74,76.1
10.32,64.43,8.91,30.68,7,4.37,80.48
5.38,95.42,4.53,47.71,7,3.76,72.07
3.46,72.17,6.65,68.66,2,8.81,75.49
3.67,99.44,4.55,91.64,3,1.3,85.43
0.92,83.25,4.95,69.46,6,2.1,77.04
2.63,48.78,7.82,48.44,7,2.83,60.35
3.25,73.21,4.33,94.56,0,0.62,64.57
2.08,49.56,5.91,56.01,4,8.44,59.59
0.76,42.35,4.96,44.81,10,4.89,49.35
5.59,96.63,8.25,65.94,8,6.02,87.81
2.57,60.27,4.41,52.36,8,8.85,67.98
8.87,51.38,5.68,37.25,13,4.95,78.91
11.07,46.11,8.28,76.33,4,2.76,100.0
3.28,79.13,7.43,74.94,0,5.31,72.52
6.87,67.67,7.52,93.19,0,5.0,84.02
6.08,40.7,8.96,38.89,13,2.99,76.14
0.9,82.91,4.12,89.19,14,2.32,78.03
1.5,55.4,7.32,81.82,7,3.58,76.35
10.62,86.83,7.72,46.45,1,7.35,93.2
5.69,69.32,7.74,61.15,1,1.65,76.01
9.66,72.13,7.57,70.96,4,9.96,94.76
0.8,67.43,4.36,50.47,1,2.35,54.66
7.14,80.56,4.42,36.99,0,2.73,68.32
10.38,99.4,7.86,84.41,4,1.23,100.0
10.4,87.87,7.06,40.71,5,3.92,89.07
0.07,44.15,5.31,61.9,12,3.72,61.16
6.26,69.69,4.05,58.45,6,6.82,70.29
4.43,54.06,6.67,88.7,10,8.96,81.99
9.12,46.14,4.45,66.33,8,2.48,87.12
0.88,51.71,7.74,57.59,12,8.09,58.03
3.18,54.89,5.7,93.49,4,3.08,73.19
9.75,97.58,8.04,52.92,14,4.07,100.0
5.63,84.69,4.48,77.22,3,1.28,87.0
5.44,91.18,6.47,45.21,1,8.93,66.88
11.62,81.93,4.5,79.22,11,3.73,100.0
3.84,58.94,7.9,78.83,8,7.01,85.34
0.5,63.47,6.8,83.83,4,0.26,69.59
4.71,66.44,5.17,61.51,2,6.97,59.87
1.84,57.6,8.81,44.44,4,2.26,58.89
0.98,65.29,7.41,71.08,9,4.51,74.02
6.81,86.27,5.68,89.16,7,6.74,93.04
11.44,44.54,8.28,50.14,1,1.71,90.2
6.95,56.59,5.9,31.31,4,5.27,68.46
7.77,68.74,8.71,42.02,7,8.36,81.43
3.88,80.57,5.49,90.64,10,1.63,87.41
6.85,78.76,8.92,30.39,8,4.68,74.88
9.03,83.5,4.31,33.5,1,1.84,75.15
7.07,46.32,7.67,36.39,2,1.43,66.97
9.63,50.85,5.46,87.97,4,4.9,94.63
6.61,58.54,6.12,54.92,10,4.57,81.05
2.38,56.9,7.18,74.95,6,6.44,67.34
6.99,85.34,4.23,75.88,1,8.58,82.77
5.89,99.6,5.12,58.21,3,7.07,81.62
1.99,80.99,4.52,77.6,8,3.36,66.54
7.43,41.98,7.7,59.98,12,4.86,78.8
9.8,57.86,5.11,65.22,3,6.74,80.35
1.62,88.18,6.49,49.94,5,8.39,62.04
6.54,95.46,5.64,30.13,3,6.83,70.19
8.8,75.69,5.18,68.57,6,5.03,88.96
4.84,60.93,8.68,47.27,6,1.33,67.36
3.24,61.31,6.54,47.89,7,8.68,65.9
4.47,78.01,7.25,87.12,2,2.81,84.4
6.5,91.85,7.52,53.52,12,4.05,81.81
8.24,60.45,8.11,36.65,8,8.85,77.02
6.71,51.44,5.32,70.97,3,2.07,71.33
1.28,40.17,4.39,65.0,6,9.14,62.06
9.81,48.25,6.34,33.74,12,2.29,79.93
11.09,91.07,4.85,52.68,10,0.87,98.77
1.22,77.48,4.1,69.73,14,5.14,73.22
2.99,99.44,8.6,48.18,8,7.95,73.86
2.08,44.17,7.13,94.1,3,4.02,69.37
10.19,61.96,6.07,81.93,2,8.43,99.7
10.92,87.74,4.68,62.77,2,3.96,95.44
0.53,79.67,7.81,89.51,8,8.15,79.73
3.99,44.0,6.67,32.26,11,1.13,67.56
2.31,64.09,4.87,44.6,10,2.83,57.46
5.63,78.26,8.91,89.46,4,1.22,100.0
11.06,81.27,8.75,63.07,4,7.4,100.0
0.84,67.1,8.64,41.06,3,4.7,59.04
2.06,51.29,8.13,67.06,4,6.56,58.56
5.84,97.96,6.66,77.47,1,2.38,91.75
6.29,67.99,5.5,69.22,2,7.35,78.42
8.95,83.04,7.26,32.98,9,9.93,80.45
5.25,72.09,4.76,32.39,3,0.79,75.29
1.69,44.84,7.08,56.46,14,3.19,68.43
4.24,54.2,4.33,31.06,1,8.69,49.08
11.79,43.78,4.07,35.47,13,8.52,84.9
9.01,51.45,7.58,71.77,12,8.72,97.1
1.4,52.01,5.71,58.5,8,2.27,66.27
9.7,64.89,7.49,35.56,4,5.63,82.29
3.73,59.3,7.9,86.97,6,0.86,87.13
9.38,61.75,8.18,53.95,9,4.31,97.14
0.15,89.01,7.08,87.41,14,5.76,75.34
10.46,41.28,8.23,69.6,4,2.59,87.43
1.95,46.2,7.29,70.36,9,4.22,62.25
5.47,88.47,8.64,57.56,12,3.66,89.18
7.94,72.04,8.48,73.68,14,0.85,100.0
6.09,66.33,4.22,45.83,5,0.69,74.35
1.98,56.04,5.34,46.73,10,7.81,53.34
1.67,72.54,5.94,86.87,7,0.03,75.34
3.41,53.29,5.26,43.24,10,9.86,65.47
0.63,91.5,4.88,55.09,5,8.97,57.9
2.6,89.44,8.37,78.41,10,9.87,81.99
1.56,59.31,4.13,51.45,13,7.86,62.55
5.58,41.47,4.91,53.79,1,0.02,54.32
4.28,93.26,7.8,89.1,13,1.16,100.0
7.04,57.92,5.12,43.42,3,3.19,71.08
3.37,79.41,5.29,45.68,0,1.81,64.66
0.41,91.49,8.84,87.64,0,0.6,69.53
3.97,87.9,7.81,47.89,7,9.17,68.94
9.06,91.75,6.24,51.49,13,9.1,92.0
3.07,69.35,4.68,87.33,2,7.67,72.96
4.85,90.54,5.35,50.87,14,2.53,83.89
9.06,67.67,8.91,94.8,1,8.52,97.12
4.88,55.83,7.96,83.38,9,8.19,91.39
10.65,68.86,4.35,85.03,9,3.24,100.0
11.02,60.12,7.53,44.67,2,1.28,82.0
3.73,86.03,5.88,44.11,12,1.36,72.43
8.83,89.9,7.6,78.92,1,4.09,100.0
3.04,48.47,5.48,83.74,2,8.32,64.16
1.67,49.87,4.65,44.6,6,0.76,60.64
5.25,63.02,4.1,43.39,5,4.3,73.14
7.23,67.8,5.48,45.83,5,3.55,72.62
11.23,97.38,8.3,38.94,5,8.92,92.72
1.75,96.5,8.46,57.38,2,1.53,70.81
8.55,98.02,7.42,62.69,9,6.56,93.22
5.71,83.79,7.74,70.83,1,3.23,77.33
1.58,80.63,4.97,33.6,8,6.47,55.15
11.67,56.22,5.77,42.49,9,8.22,91.8
8.35,62.36,8.5,37.61,6,8.25,74.78
1.55,40.16,8.93,47.55,11,8.46,57.04
10.87,89.98,6.22,42.08,9,2.93,93.54
1.24,56.57,7.88,90.86,0,2.76,60.74
1.11,44.76,8.67,54.27,5,1.23,64.81
3.98,58.94,8.99,39.03,4,2.55,51.98
11.26,59.39,5.48,73.32,4,1.19,92.51
0.4,83.44,7.27,93.24,4,7.84,76.12
11.02,40.34,5.95,81.64,11,0.47,93.29
7.34,53.8,6.33,72.13,8,1.92,88.7
0.8,93.79,6.31,54.58,3,7.9,67.97
6.82,91.29,5.39,56.21,9,7.68,81.09
5.51,77.74,4.1,49.64,6,9.73,71.58
6.77,73.54,7.83,82.4,6,3.84,85.91
8.85,53.36,7.48,82.22,1,0.45,92.0
8.14,92.51,8.2,61.81,12,8.08,97.95
